"Time (s)","Sound pressure level (dB)"
3.622866867E2,-5.278633274E1
3.623890141E2,-5.128600637E1
3.624953925E2,-5.188169371E1
3.625972911E2,-5.142804459E1
3.627033684E2,-5.167156342E1
3.628057472E2,-5.262179866E1
3.629119887E2,-5.317533519E1
3.630154220E2,-5.241918261E1
3.631217527E2,-5.165585740E1
3.632272777E2,-5.323703529E1
3.633332701E2,-5.295514865E1
3.634391086E2,-5.254568804E1
3.635453483E2,-4.480040378E1
3.636483614E2,-4.789154280E1
3.637504242E2,-4.097314619E1
3.638557680E2,-3.468234564E1
3.639579555E2,-3.562880986E1
3.640643237E2,-4.146016867E1
3.641706260E2,-3.766330815E1
3.642724182E2,-3.363610106E1
3.643785440E2,-4.001302150E1
3.644848629E2,-3.981507543E1
3.645891487E2,-4.247096468E1
3.646930763E2,-4.269273911E1
3.647976532E2,-3.809248416E1
3.649039462E2,-4.842217701E1
3.650066362E2,-4.130080798E1
3.651119837E2,-3.825161296E1
3.652182751E2,-4.219886608E1
3.653225408E2,-4.745124593E1
3.654244610E2,-4.790942516E1
3.655305213E2,-5.081895550E1
3.656368165E2,-5.085052790E1
3.657392500E2,-4.845400374E1
3.658455913E2,-5.294939784E1
3.659518617E2,-4.320853165E1
3.660558295E2,-5.157480334E1
3.661616065E2,-5.399367935E1
3.662663999E2,-4.697961082E1
3.663726092E2,-4.662419327E1
3.664790796E2,-5.271219909E1
3.665854226E2,-5.343870040E1
3.666893217E2,-5.203505492E1
3.667924787E2,-5.337140148E1
3.668975804E2,-5.333969661E1
3.670016566E2,-5.463787589E1
3.671060405E2,-4.237139446E1
3.672075016E2,-4.749084914E1
3.673104420E2,-4.369406885E1
3.674161770E2,-4.196578793E1
3.675221998E2,-4.598157999E1
3.676281913E2,-4.602514041E1
3.677342382E2,-4.712540490E1
3.678394531E2,-4.490807852E1
3.679435162E2,-4.780736044E1
3.680477353E2,-5.203847110E1
3.681506178E2,-5.112681551E1
3.682561330E2,-4.780034117E1
3.683604947E2,-4.560301632E1
3.684626481E2,-5.123272651E1
3.685691170E2,-4.501180255E1
3.686729109E2,-4.263971186E1
3.687792157E2,-4.723939848E1
3.688856005E2,-4.549514085E1
3.689895051E2,-4.534433270E1
3.690959968E2,-4.648142448E1
3.692001625E2,-4.711828298E1
3.693058167E2,-5.026367605E1
3.694120832E2,-4.790744337E1
3.695174317E2,-5.068847262E1
3.696229860E2,-5.024507646E1
3.697294441E2,-5.260506322E1
3.698336520E2,-5.407646662E1
3.699394645E2,-5.402637844E1
3.700406152E2,-5.396204099E1
3.701462380E2,-5.327146081E1
3.702523650E2,-4.943449440E1
3.703562496E2,-4.579023911E1
3.704625445E2,-4.440179323E1
3.705673044E2,-4.718902391E1
3.706729132E2,-5.125249533E1
3.707758837E2,-4.635025352E1
3.708777609E2,-5.114150945E1
3.709826807E2,-5.276827532E1
3.710842730E2,-5.243990121E1
3.711896812E2,-5.330184594E1
3.712959010E2,-5.146375156E1
3.713976839E2,-5.214057696E1
3.715017986E2,-5.384330005E1
3.716076370E2,-5.357670883E1
3.717133839E2,-5.239926094E1
3.718192945E2,-5.302536459E1
3.719230447E2,-5.199601219E1
3.720294000E2,-5.274755646E1
3.721356986E2,-5.086674100E1
3.722397240E2,-5.391093019E1
3.723459976E2,-3.932929848E1
3.724501385E2,-4.401821692E1
3.725560828E2,-4.566850735E1
3.726625283E2,-4.338999170E1
3.727688342E2,-4.642506929E1
3.728731625E2,-4.842778742E1
3.729795051E2,-5.176499187E1
3.730811156E2,-4.505586411E1
3.731869275E2,-4.386301458E1
3.732898403E2,-4.370850288E1
3.733952397E2,-4.523527340E1
3.734976370E2,-4.443651174E1
3.736039992E2,-4.503054953E1
3.737064805E2,-5.454758474E1
3.738125988E2,-4.879316588E1
3.739189539E2,-5.351677468E1
3.740232190E2,-4.187306350E1
3.741246140E2,-4.670094436E1
3.742305914E2,-3.917785824E1
3.743362068E2,-3.546476368E1
3.744399125E2,-4.522101959E1
3.745462057E2,-5.196302139E1
3.746523760E2,-5.196912940E1
3.747566865E2,-5.250656837E1
3.748630705E2,-5.473136805E1
3.749693984E2,-5.345919509E1
3.750732992E2,-4.346441845E1
3.751757948E2,-5.060122074E1
3.752774295E2,-4.739567830E1
3.753834686E2,-4.595098144E1
3.754895418E2,-3.869622990E1
3.755938857E2,-3.585044659E1
3.756976671E2,-3.430428068E1
3.758006695E2,-3.851564866E1
3.759062487E2,-3.579753821E1
3.760126047E2,-3.619910776E1
3.761184122E2,-3.217213832E1
3.762234395E2,-2.739844544E1
3.763299560E2,-3.586375458E1
3.764330223E2,-4.193696913E1
3.765376327E2,-3.909047138E1
3.766400901E2,-4.374544498E1
3.767408639E2,-4.050444389E1
3.768474017E2,-4.093571340E1
3.769537216E2,-4.205706279E1
3.770566570E2,-4.300176055E1
3.771575340E2,-4.198085721E1
3.772638009E2,-3.561416071E1
3.773661447E2,-3.405759012E1
3.774721856E2,-4.503023805E1
3.775766046E2,-2.922131318E1
3.776827295E2,-3.544970892E1
3.777857281E2,-4.448899121E1
3.778904338E2,-4.649025403E1
3.779963336E2,-4.746342458E1
3.781027864E2,-3.339306199E1
3.782068986E2,-4.593004765E1
3.783134079E2,-4.188207693E1
3.784178536E2,-4.401026646E1
3.785236650E2,-5.032228984E1
3.786300411E2,-5.068515789E1
3.787322314E2,-4.953931920E1
3.788378119E2,-4.477292013E1
3.789402669E2,-4.106330432E1
3.790439513E2,-4.773785998E1
3.791502816E2,-4.876321468E1
3.792564685E2,-4.592990313E1
3.793611635E2,-4.768278908E1
3.794674367E2,-4.358271073E1
3.795736711E2,-4.792798105E1
3.796772372E2,-5.241159119E1
3.797832216E2,-5.144981990E1
3.798878190E2,-5.336056337E1
3.799903850E2,-5.225774820E1
3.800967084E2,-5.259372550E1
3.802029685E2,-4.874925722E1
3.803070432E2,-5.199899098E1
3.804134197E2,-5.268727743E1
3.805198347E2,-5.196985750E1
3.806237404E2,-5.386250652E1
3.807301263E2,-5.401461544E1
3.808363062E2,-4.466316318E1
3.809403469E2,-3.893278610E1
3.810463643E2,-4.399867456E1
3.811526065E2,-4.035630760E1
3.812569880E2,-4.120409165E1
3.813627648E2,-4.599228713E1
3.814666847E2,-4.706335941E1
3.815695392E2,-5.045342481E1
3.816738672E2,-4.916944420E1
3.817789086E2,-5.118180862E1
3.818802886E2,-4.461450537E1
3.819861368E2,-4.672999297E1
3.820905113E2,-4.723819813E1
3.821967837E2,-5.100941224E1
3.823027762E2,-4.622117039E1
3.824071984E2,-4.296313434E1
3.825085919E2,-4.304417777E1
3.826147884E2,-5.278493671E1
3.827211687E2,-4.328498021E1
3.828238748E2,-4.494036374E1
3.829304794E2,-4.259385739E1
3.830367468E2,-4.549821381E1
3.831405790E2,-4.973261224E1
3.832469420E2,-5.031077864E1
3.833519735E2,-4.837541902E1
3.834574076E2,-4.196925769E1
3.835638387E2,-5.011354183E1
3.836661474E2,-5.169503886E1
3.837725555E2,-5.466674533E1
3.838739973E2,-5.338477050E1
3.839747912E2,-4.521702353E1
3.840810632E2,-4.281102030E1
3.841870507E2,-4.823130004E1
3.842906932E2,-5.030985921E1
3.843955276E2,-5.099466917E1
3.844977374E2,-5.422507588E1
3.846041330E2,-5.344203083E1
3.847074637E2,-5.422246114E1
3.848137423E2,-5.137584063E1
3.849200395E2,-5.129948423E1
3.850240945E2,-5.196102296E1
3.851304587E2,-5.445178635E1
3.852366924E2,-5.470973971E1
3.853406407E2,-5.234985851E1
3.854464116E2,-3.697690203E1
3.855527641E2,-4.491967111E1
3.856574344E2,-5.408090192E1
3.857637394E2,-5.346942831E1
3.858660967E2,-5.430644207E1
3.859719384E2,-5.425186325E1
3.860741580E2,-5.308923601E1
3.861771297E2,-5.403819203E1
3.862804935E2,-5.424686242E1
3.863831031E2,-5.243688944E1
3.864877048E2,-5.345555734E1
3.865907342E2,-5.432995601E1
3.866916238E2,-5.349252096E1
3.867976917E2,-5.305382789E1
3.868998840E2,-5.313189192E1
3.870057607E2,-5.427699715E1
3.871075677E2,-5.303648303E1
3.872137628E2,-5.312243753E1
3.873195850E2,-5.117229961E1
3.874244764E2,-5.383757361E1
3.875307606E2,-5.235150031E1
3.876362242E2,-5.500508148E1
3.877409092E2,-5.521676012E1
3.878438780E2,-5.343248223E1
3.879495533E2,-3.983993261E1
3.880539005E2,-3.825574518E1
3.881576190E2,-5.031064346E1
3.882639319E2,-5.282102326E1
3.883661425E2,-5.332503745E1
3.884724693E2,-5.268225144E1
3.885743192E2,-5.238123384E1
3.886783930E2,-5.102197255E1
3.887846392E2,-4.666572302E1
3.888905788E2,-3.715710396E1
3.889926343E2,-3.489136554E1
3.890976483E2,-3.963482084E1
3.892036634E2,-3.744361193E1
3.893084312E2,-4.140513345E1
3.894142556E2,-3.791770046E1
3.895206630E2,-3.668238903E1
3.896244492E2,-3.559168274E1
3.897269629E2,-4.531753049E1
3.898330262E2,-5.170229265E1
3.899371316E2,-5.546010501E1
3.900411967E2,-5.467985370E1
3.901475547E2,-5.417314977E1
3.902533547E2,-5.494779398E1
3.903577805E2,-5.356897756E1
3.904592176E2,-5.522221878E1
3.905605157E2,-4.695198430E1
3.906657641E2,-4.136508407E1
3.907708211E2,-4.121512539E1
3.908745616E2,-4.150976348E1
3.909790873E2,-4.393470292E1
3.910816527E2,-4.643221423E1
3.911851231E2,-5.422678045E1
3.912912108E2,-4.940637404E1
3.913962672E2,-4.951699688E1
3.914975935E2,-5.361087443E1
3.916027732E2,-5.093186797E1
3.917079120E2,-4.165164684E1
3.918143073E2,-3.649274631E1
3.919205968E2,-4.116001059E1
3.920244815E2,-4.198737832E1
3.921253684E2,-4.022479516E1
3.922316670E2,-3.915034313E1
3.923379909E2,-4.046685528E1
3.924413909E2,-3.884697880E1
3.925476224E2,-3.852712410E1
3.926539510E2,-3.614829793E1
3.927579099E2,-3.175230992E1
3.928639263E2,-3.360578806E1
3.929702118E2,-3.502713874E1
3.930745545E2,-3.438737977E1
3.931754324E2,-3.915418803E1
3.932805733E2,-3.715137685E1
3.933868266E2,-3.679326558E1
3.934914924E2,-5.151335991E1
3.935976075E2,-5.259483805E1
3.937036695E2,-5.280554087E1
3.938080505E2,-5.366695771E1
3.939130321E2,-5.328171144E1
3.940156056E2,-4.856592907E1
3.941166817E2,-4.773614069E1
3.942224543E2,-4.862303261E1
3.943247546E2,-4.848952264E1
3.944279917E2,-5.270885163E1
3.945343192E2,-5.341163535E1
3.946402132E2,-5.262204234E1
3.947422432E2,-5.395720087E1
3.948438681E2,-5.362204940E1
3.949495340E2,-5.183360898E1
3.950514608E2,-5.388478700E1
3.951577265E2,-4.998494551E1
3.952639532E2,-4.199274686E1
3.953672511E2,-4.224511387E1
3.954725666E2,-4.370933312E1
3.955748700E2,-3.801032704E1
3.956812375E2,-4.177322618E1
3.957875713E2,-3.525112634E1
3.958915475E2,-4.024959163E1
3.959976799E2,-5.134032430E1
3.961038609E2,-5.300389286E1
3.962082028E2,-5.393073302E1
3.963090315E2,-5.286388626E1
3.964141337E2,-5.415962240E1
3.965196080E2,-5.375084191E1
3.966249747E2,-5.351767126E1
3.967313024E2,-5.490770410E1
3.968373290E2,-5.444813036E1
3.969416390E2,-5.444995403E1
3.970424586E2,-5.260976276E1
3.971487953E2,-5.285298691E1
3.972509076E2,-5.054633022E1
3.973522319E2,-5.436237768E1
