"Time (s)","Sound pressure level (dB)"
8.768002608E1,-4.197037948E1
8.778629317E1,-3.832175406E1
8.789282458E1,-3.772486348E1
8.799674012E1,-4.191831703E1
8.810313900E1,-4.826583652E1
8.820465229E1,-3.722116925E1
8.831094425E1,-4.035186560E1
8.841332850E1,-4.332199527E1
8.851514958E1,-4.335978856E1
8.862121087E1,-4.601175042E1
8.872513433E1,-4.643353812E1
8.882949833E1,-4.656649222E1
8.893155396E1,-4.256768657E1
8.903735608E1,-4.471867222E1
8.914363688E1,-5.407082073E1
8.924625767E1,-5.233879958E1
8.935257163E1,-5.426627149E1
8.945646525E1,-5.299440530E1
8.956240500E1,-5.378604154E1
8.966876058E1,-5.442044247E1
8.977507646E1,-5.487112811E1
8.987957521E1,-5.555122542E1
8.998591379E1,-5.524960269E1
9.009222433E1,-5.067694157E1
9.019629300E1,-4.616094072E1
9.030132517E1,-4.332831550E1
9.040701133E1,-4.770903669E1
9.051296092E1,-5.003939038E1
9.061715896E1,-4.535373832E1
9.072333875E1,-5.177338263E1
9.082914087E1,-5.272681978E1
9.093011204E1,-5.280107286E1
9.103263250E1,-5.254490594E1
9.113887767E1,-5.106815291E1
9.124011096E1,-4.430147349E1
9.134637292E1,-4.930004923E1
9.145270842E1,-4.894400110E1
9.155890308E1,-5.392108151E1
9.166304071E1,-5.140304207E1
9.176935504E1,-5.470098909E1
9.187089542E1,-5.273777363E1
9.197609842E1,-5.230321782E1
9.207977400E1,-5.148130721E1
9.218615167E1,-5.296444668E1
9.229241233E1,-5.149365240E1
9.239642167E1,-5.443210233E1
9.250267987E1,-4.906538054E1
9.260903971E1,-4.581651765E1
9.271321771E1,-5.027831823E1
9.281732354E1,-5.050827281E1
9.292354850E1,-5.219258865E1
9.302982108E1,-5.327242978E1
9.313644600E1,-5.306881657E1
9.324188571E1,-5.206038518E1
9.334657121E1,-5.287127549E1
9.345291558E1,-4.952697308E1
9.355433512E1,-5.204771750E1
9.366030933E1,-4.762203782E1
9.376320029E1,-4.908496485E1
9.386952646E1,-4.967631878E1
9.397106496E1,-5.169159082E1
9.407723283E1,-5.061181213E1
9.417990550E1,-5.237232387E1
9.428627900E1,-5.102902029E1
9.439267179E1,-4.643120010E1
9.449664642E1,-5.122221700E1
9.460304687E1,-5.215490287E1
9.470846467E1,-5.424668724E1
9.481333292E1,-5.159377038E1
9.491876008E1,-5.288697372E1
9.502476025E1,-5.435846670E1
9.512999388E1,-5.479336808E1
9.523585575E1,-5.385400495E1
9.534145392E1,-5.346149617E1
9.544666700E1,-5.332135006E1
9.555287004E1,-5.216818902E1
9.565809067E1,-5.481310242E1
9.576345983E1,-5.102887115E1
9.586977800E1,-4.656174622E1
9.597606150E1,-3.792522316E1
9.608009242E1,-4.220999329E1
9.618199954E1,-4.596731404E1
9.628849025E1,-4.357055916E1
9.639188325E1,-4.193643993E1
9.649666217E1,-4.393505685E1
9.659750287E1,-3.742357388E1
9.670383512E1,-4.115667976E1
9.680935242E1,-3.849863195E1
9.691345250E1,-4.351624779E1
9.701631212E1,-4.266594644E1
9.712231837E1,-3.990580264E1
9.722649975E1,-4.694116247E1
9.733100504E1,-4.514667661E1
9.743588479E1,-5.286683924E1
9.753787150E1,-4.321459002E1
9.764254492E1,-4.614029474E1
9.774731696E1,-4.791047782E1
9.785108242E1,-4.846075704E1
9.795373596E1,-5.470671716E1
9.805921300E1,-5.038004690E1
9.816434717E1,-4.462351704E1
9.827002029E1,-4.927185449E1
9.837590033E1,-5.524315323E1
9.848060546E1,-5.033659157E1
9.858639654E1,-5.018436610E1
9.869261804E1,-4.574044791E1
9.879773233E1,-4.488489110E1
9.890340658E1,-5.422409416E1
9.900943121E1,-5.259229166E1
9.911450650E1,-4.668676777E1
9.922099979E1,-4.230486156E1
9.932603654E1,-4.556612978E1
9.943098492E1,-4.238892558E1
9.953521358E1,-4.464454185E1
9.964152962E1,-4.975618863E1
9.974709417E1,-5.353269532E1
9.985292208E1,-4.618296438E1
9.995637529E1,-4.368225383E1
1.000593605E2,-5.068589233E1
1.001645312E2,-5.197530516E1
1.002708351E2,-4.699108529E1
1.003759702E2,-4.935034725E1
1.004811236E2,-4.581385365E1
1.005874963E2,-4.831410812E1
1.006927193E2,-4.864949405E1
1.007977596E2,-5.282672498E1
1.008991865E2,-5.437868278E1
1.010050987E2,-5.362974150E1
1.011086728E2,-5.212921232E1
1.012149613E2,-5.141090685E1
1.013214695E2,-5.129982560E1
1.014272684E2,-4.865049514E1
1.015325404E2,-5.556992884E1
1.016383844E2,-5.467026749E1
1.017446647E2,-5.466029210E1
1.018481828E2,-5.457095097E1
1.019507126E2,-5.535001210E1
1.020554868E2,-5.461608562E1
1.021571812E2,-5.573113030E1
1.022634962E2,-5.471049688E1
1.023661102E2,-5.291189645E1
1.024717533E2,-5.472555318E1
1.025758709E2,-5.340079293E1
1.026814877E2,-5.573027994E1
1.027863137E2,-5.466428321E1
1.028889332E2,-5.372926950E1
1.029954494E2,-4.940349082E1
1.030982227E2,-4.791579124E1
1.032007377E2,-4.459146699E1
1.033057545E2,-4.114172527E1
1.034086971E2,-4.620357159E1
1.035129510E2,-4.670146606E1
1.036148872E2,-4.915221457E1
1.037212288E2,-5.239544468E1
1.038230745E2,-4.507380180E1
1.039286362E2,-5.091476436E1
1.040315333E2,-5.445318451E1
1.041351660E2,-5.499296798E1
1.042390704E2,-5.494992941E1
1.043454040E2,-5.383168462E1
1.044482583E2,-5.346337556E1
1.045545893E2,-4.253237649E1
1.046564675E2,-4.080092844E1
1.047593776E2,-5.235218752E1
1.048648810E2,-5.051615841E1
1.049662580E2,-5.326807468E1
1.050723890E2,-5.624602691E1
1.051764212E2,-5.485373978E1
1.052816087E2,-5.615499528E1
1.053836403E2,-5.325490004E1
1.054891435E2,-5.420972484E1
1.055954826E2,-4.992702774E1
1.056978533E2,-5.059739885E1
1.058013373E2,-4.295178381E1
1.059058354E2,-4.466797327E1
1.060122870E2,-5.001630799E1
1.061149103E2,-4.038427677E1
1.062179796E2,-5.475756192E1
1.063225588E2,-5.507504657E1
1.064289732E2,-5.495333464E1
1.065313272E2,-4.906041861E1
1.066345981E2,-4.723076753E1
1.067392345E2,-4.918440767E1
1.068455715E2,-4.668127760E1
1.069482019E2,-5.137319632E1
1.070513017E2,-5.086233364E1
1.071559329E2,-5.255523924E1
1.072623544E2,-5.173371888E1
1.073649310E2,-5.531885501E1
1.074704391E2,-5.424638897E1
1.075726619E2,-5.621822616E1
1.076789637E2,-5.446315902E1
1.077815654E2,-5.378715198E1
1.078846485E2,-5.457293475E1
1.079893568E2,-5.475344810E1
1.080957370E2,-5.233972109E1
1.081983267E2,-5.322830740E1
1.083012050E2,-4.384316263E1
1.084060604E2,-4.742024607E1
1.085086250E2,-4.760177876E1
1.086149067E2,-5.309289017E1
1.087179676E2,-4.153588680E1
1.088227384E2,-4.231399727E1
1.089240769E2,-3.565561897E1
1.090301500E2,-3.414828169E1
1.091347066E2,-3.042412957E1
1.092394875E2,-3.830534639E1
1.093446087E2,-4.301046306E1
1.094482816E2,-4.973539210E1
1.095512154E2,-4.863337597E1
1.096560713E2,-4.816547643E1
1.097606486E2,-5.424465661E1
1.098649530E2,-5.659182431E1
1.099680448E2,-5.612497050E1
1.100728375E2,-5.464483702E1
1.101791931E2,-4.670966949E1
1.102816395E2,-4.490495006E1
1.103863613E2,-4.983693907E1
1.104895076E2,-4.153618672E1
1.105958158E2,-4.910950389E1
1.106982505E2,-4.844927418E1
1.108012688E2,-4.726561506E1
1.109062171E2,-4.914943679E1
1.110126430E2,-4.942286628E1
1.111149159E2,-5.084847337E1
1.112180302E2,-5.286219783E1
1.113229263E2,-5.232998018E1
1.114293260E2,-5.050732259E1
1.115347389E2,-5.408307630E1
1.116395907E2,-5.170936786E1
1.117459673E2,-5.002686727E1
1.118513040E2,-5.318977195E1
1.119562279E2,-5.431187917E1
1.120624225E2,-5.356840596E1
1.121650002E2,-5.484984126E1
1.122680345E2,-5.192884856E1
1.123730273E2,-5.572007556E1
1.124794562E2,-5.449026076E1
1.125815430E2,-5.443336779E1
1.126846613E2,-5.538731159E1
1.127897105E2,-5.441483427E1
1.128960945E2,-5.471748618E1
1.130013731E2,-5.503941082E1
1.131064109E2,-5.420385787E1
1.132128045E2,-5.315402972E1
1.133148984E2,-5.508867203E1
1.134179958E2,-5.535634561E1
1.135230806E2,-5.586935942E1
1.136293843E2,-5.381875969E1
1.137315007E2,-5.430406587E1
1.138345759E2,-5.342689977E1
1.139397706E2,-5.393861751E1
1.140461869E2,-5.709351915E1
1.141482608E2,-5.363595872E1
1.142514006E2,-5.224007500E1
1.143564964E2,-5.028487584E1
1.144606700E2,-4.904737189E1
1.145648997E2,-4.744183373E1
1.146679872E2,-4.862967573E1
1.147731844E2,-4.788098427E1
1.148795870E2,-4.464552925E1
1.149815657E2,-4.455692247E1
1.150846482E2,-4.451555412E1
1.151899166E2,-4.291597136E1
1.152963441E2,-4.181178057E1
1.153982435E2,-4.846395369E1
1.155045428E2,-4.335855812E1
1.156065195E2,-4.546959087E1
1.157128757E2,-4.264460024E1
1.158148754E2,-4.524505687E1
1.159206722E2,-4.449154963E1
1.160232124E2,-4.507391509E1
1.161251459E2,-4.787559733E1
1.162314846E2,-4.808774108E1
1.163348008E2,-4.601055033E1
1.164399034E2,-4.604255922E1
1.165436046E2,-4.767134672E1
1.166482396E2,-4.760228650E1
1.167544521E2,-5.047226571E1
1.168566162E2,-5.441165385E1
1.169628971E2,-5.469780090E1
1.170648723E2,-4.449215948E1
1.171708587E2,-4.047801313E1
